cx_square,cy_square,cx_hexa,cy_hexa,cx_sept,cy_sept,cx_pent,cy_pent,cx_triangle,cy_triangle,X,Y,Z
389,502,391,393,388,592,230,501,533,502,47.630973,1.959253,-5.144614
518,528,506,431,530,611,376,534,651,521,47.166674,1.713366,-7.55838
547,525,535,428,559,608,404,532,682,519,47.33597,0.654571,-9.487253
554,514,542,416,566,597,411,520,690,507,47.301259,-1.078294,-11.537369
555,498,543,399,565,580,411,504,690,491,47.262419,-3.110282,-14.191243
555,474,545,374,565,556,411,480,690,467,47.600145,-4.5714,-15.456969
524,456,515,356,532,538,380,462,658,450,48.407186,-4.49215,-13.346211
433,436,424,335,440,518,286,440,565,432,50.064156,-4.036178,-7.347954
391,433,382,331,397,515,243,436,522,429,50.792797,-3.5919,-4.09792
354,431,346,330,360,513,204,434,486,428,51.092875,-2.86316,-1.398194
412,493,413,386,411,581,257,492,553,493,51.37571,-2.75907,0.444896
326,431,317,331,331,513,175,434,457,428,51.48587,-2.255161,1.53451
312,439,304,339,317,520,161,442,442,435,52.038282,-1.343247,3.1662
311,460,303,362,315,542,161,464,440,456,53.08757,-0.860704,4.47095
309,475,301,378,313,557,159,479,438,471,52.703276,-0.903162,4.231112
308,494,300,397,312,576,160,499,436,489,51.364515,-0.455544,2.389198
308,513,300,417,314,594,162,518,436,507,50.30519,1.433557,0.465526
318,528,309,432,324,610,173,534,445,522,49.449344,2.295665,-1.190189
343,545,333,450,351,628,200,552,470,539,48.518071,3.078194,-2.782195
374,554,362,459,383,637,231,561,500,547,47.765842,3.693155,-4.590877
402,559,390,464,413,642,261,567,529,551,47.219427,3.585988,-5.379348
432,489,432,384,430,575,279,488,569,489,46.967307,3.756092,-5.996627
435,560,421,464,447,642,294,567,563,552,46.449565,2.816955,-6.166067
472,560,457,465,485,643,332,568,601,552,46.421019,1.587952,-6.568816
505,559,490,464,519,642,365,567,636,551,46.881438,-0.217061,-7.099688
533,554,518,458,547,636,392,561,665,546,47.526358,-1.344162,-7.551898
558,531,544,435,572,613,417,539,692,523,48.084617,-2.39818,-7.861175
579,518,565,420,593,600,437,525,714,509,48.606584,-2.946997,-7.422045
581,509,567,412,595,591,439,517,717,501,48.871346,-3.991762,-6.56801
579,498,566,401,593,580,438,506,715,490,49.101243,-4.624695,-5.627866
577,491,564,393,590,572,436,498,711,483,49.289459,-5.188476,-4.1996
552,476,540,378,563,557,411,483,685,469,49.525688,-5.290901,-2.666099
454,486,453,384,453,571,304,486,589,485,49.546763,-5.397236,-1.139285
479,462,469,363,489,542,337,468,610,455,48.927292,-4.48373,1.24952
453,456,442,357,462,536,310,462,583,450,48.453676,-3.724159,1.846613
426,453,416,354,434,533,282,458,556,448,48.101891,-2.754567,1.821093
399,451,390,351,407,531,254,455,529,446,47.688777,-1.694005,0.917031
373,449,364,349,380,529,227,452,502,444,47.311341,-0.430334,-0.248984
353,447,344,349,359,528,206,451,482,443,46.880615,0.888802,-1.975419
344,452,336,354,350,533,198,457,473,448,46.423365,2.140901,-4.123077
336,472,328,375,342,553,189,476,465,467,46.1979,2.443373,-5.24804
333,487,325,390,338,568,186,491,461,482,46.025814,2.278071,-6.278247
490,485,487,384,490,568,342,486,622,483,46.047076,2.079331,-7.118951
331,502,323,405,337,583,185,507,459,496,45.761062,1.283233,-7.9416
331,520,323,424,338,602,187,526,459,514,45.21937,0.162494,-8.538683
356,537,346,442,364,619,213,544,483,531,44.899167,-0.752957,-9.307422
394,552,383,457,404,635,253,560,522,545,45.188456,-1.559975,-9.404713
427,561,414,465,439,644,287,569,556,553,45.677218,-2.725003,-8.518976
455,561,441,465,469,644,315,569,585,553,46.091711,-3.619579,-7.449873
481,560,466,465,496,643,342,569,612,552,46.398059,-3.904387,-6.502591
521,520,507,424,534,602,380,528,654,513,47.543431,-3.906928,-2.868352
515,485,510,384,516,567,369,486,646,482,47.908313,-3.879693,-1.19686
525,497,513,400,536,579,384,504,658,490,48.262257,-3.461302,0.669285
527,481,518,383,537,562,386,487,661,475,48.304126,-2.948172,1.540682
533,469,526,370,541,550,391,474,668,463,48.148657,-2.263924,1.830169
540,457,535,357,546,538,398,461,675,452,48.008297,-1.304738,1.504589
545,451,542,351,549,532,403,454,679,447,47.963736,0.142062,0.302148
536,441,533,340,539,522,393,443,669,438,47.88454,1.866005,-1.337203
464,430,461,329,467,511,320,432,596,428,47.518797,3.682891,-4.418284
412,428,408,327,416,509,266,429,543,426,47.51513,4.081921,-5.21597
362,425,356,324,366,507,213,427,493,423,47.378553,4.02614,-6.14353
533,485,526,385,534,566,387,486,663,481,47.267108,3.288793,-6.898805
326,423,320,320,332,505,176,425,459,421,47.139292,2.053748,-7.832621
311,421,304,318,317,503,160,423,444,418,46.998296,0.697884,-9.08058
301,420,293,317,308,502,150,422,434,417,47.035811,-0.504032,-9.470373
292,420,282,319,298,503,139,424,424,417,47.112517,-1.52462,-9.73952
288,439,278,339,295,521,137,444,420,435,47.141402,-2.484723,-9.484453
285,482,274,384,293,564,136,489,415,475,47.593912,-5.055594,-6.993259
292,499,280,402,302,581,145,507,422,492,47.679013,-5.742233,-5.840811
322,513,309,416,333,595,176,522,451,505,48.054472,-5.901944,-4.605315
351,524,337,427,364,607,207,533,481,515,48.361646,-5.849485,-3.388754
550,486,542,387,552,566,405,488,679,482,48.547776,-5.712176,-1.816568
379,527,364,431,392,610,235,537,508,518,48.722082,-5.025656,-0.318488
412,527,396,430,426,610,269,536,542,518,48.988422,-4.555704,1.612397
490,526,474,429,505,609,348,535,623,518,49.014114,-2.718445,3.290784
